Latitude,Longitude,VelDown,IAS,Altitude,Energy,AccelZ
39,7,3,50,1,2,10
40,6,5,45,2,1,12
41,5,9,41,3,1,10
42,5,8,37,5,1,10
43,5,5,34,7,1,12
43,6,5,30,10,3,14
44,5,7,27,11,4,13
45,5,5,25,13,5,14
46,5,1,23,14,7,15
47,5,1,21,16,8,15
47,5,1,19,18,10,15
48,4,3,18,19,12,13
49,4,4,18,21,13,12
49,4,5,18,22,15,13
48,4,7,17,23,16,13
48,3,6,18,24,18,13
49,3,7,17,25,20,13
49,2,11,17,26,21,12
49,2,17,18,26,22,6
49,2,17,19,26,23,2
50,2,17,20,26,23,4
46,2,17,19,25,21,7
47,1,18,19,26,22,9
46,1,28,18,27,23,9
46,1,35,18,27,23,3
45,1,38,18,27,23,1
45,1,40,16,27,23,4
41,1,46,14,30,26,7
41,1,44,10,31,26,10
41,1,50,6,32,26,16
39,1,47,1,37,31,21
37,2,45,2,42,38,18
36,2,42,3,42,39,12
36,2,33,5,42,40,7
35,2,21,6,43,42,8
35,2,12,6,44,43,12
35,2,9,6,45,45,16
34,3,10,5,47,47,18
34,3,15,4,48,48,19
33,3,21,3,49,49,20
33,4,28,2,49,49,19
32,4,33,2,50,50,18
32,4,38,2,49,49,17
31,4,41,2,49,49,15
31,4,43,2,49,49,14
31,4,44,2,48,48,12
30,5,44,2,48,47,12
29,5,44,3,47,47,12
29,5,43,4,47,46,11
29,5,40,4,46,46,10
28,5,38,4,46,46,11
27,5,35,4,46,46,10
27,6,31,4,47,46,12
27,6,30,3,47,47,15
26,6,31,3,48,47,18
26,6,35,4,48,48,16
25,7,36,4,48,48,15
25,7,37,4,48,48,14
24,7,37,4,48,48,14
24,7,37,4,48,48,13
24,7,38,4,48,47,15
23,8,39,4,47,47,14
23,8,39,4,47,47,14
23,8,39,4,47,47,13
23,9,37,4,47,47,13
22,9,36,4,47,47,14
22,9,36,4,47,47,14
22,9,36,4,47,47,14
22,9,36,4,47,47,14
21,10,36,4,47,47,14
21,10,36,4,47,47,14
21,10,35,5,47,47,14
21,10,34,5,47,47,13
21,10,34,4,47,47,15
20,11,35,4,47,47,14
20,11,35,5,47,47,13
20,11,34,4,47,47,14
20,12,35,4,47,47,15
19,12,35,4,47,47,14
19,12,36,4,47,47,14
19,12,35,5,47,47,13
19,13,34,4,47,47,14
19,13,35,4,47,47,50
19,13,35,4,47,46,17
18,14,39,3,47,46,17
18,14,42,4,46,46,15
18,14,40,4,46,45,12
18,14,36,5,46,45,11
18,14,32,6,46,46,12
18,15,30,5,46,46,14
17,15,30,5,46,46,15
17,15,31,5,46,46,15
17,15,31,6,46,47,14
17,15,30,5,47,47,14
17,16,30,5,47,47,15
17,16,31,4,47,47,15
16,17,33,4,47,47,16
16,17,34,4,47,47,15
16,17,34,4,47,47,14
16,17,34,4,47,47,14
16,17,34,4,47,47,14
15,18,34,4,47,47,14
15,18,34,4,47,47,14
15,18,34,4,47,47,14
15,18,34,4,47,47,14
15,18,35,4,47,47,16
15,19,36,4,47,47,14
15,19,35,4,47,47,14
14,20,34,4,47,47,14
14,20,34,4,47,47,14
14,20,36,4,47,47,15
14,20,35,4,47,47,14
14,20,34,4,47,47,14
14,21,34,4,47,47,14
13,21,34,4,47,47,14
13,22,34,4,47,47,14
13,22,34,4,47,47,14
13,22,34,4,47,47,14
13,22,34,5,47,47,14
13,22,32,4,47,47,13
13,23,33,4,47,47,15
12,23,33,4,47,47,15
12,23,34,4,47,47,15
12,23,34,4,47,47,14
12,23,34,4,47,47,14
12,24,34,4,47,47,14
12,24,34,4,47,47,14
11,24,35,4,47,47,15
11,25,36,4,47,47,16
11,25,37,4,47,47,14
11,25,35,4,47,47,14
11,25,35,4,47,46,14
11,26,36,4,47,47,16
11,26,35,4,47,46,14
10,26,35,4,47,46,14
10,27,34,4,47,46,14
10,27,34,4,47,46,15
10,27,34,4,47,46,15
10,27,34,4,47,46,15
10,27,34,5,47,47,14
9,28,33,4,47,46,15
9,28,33,4,47,46,15
9,28,34,4,47,46,15
9,28,34,5,47,47,14
9,28,32,4,47,47,14
9,29,33,4,47,47,15
9,29,34,4,47,47,15
8,30,34,5,47,47,15
8,30,33,4,47,47,13
8,30,33,4,47,47,15
8,30,34,4,47,47,15
8,30,34,4,47,47,15
8,31,34,4,47,47,14
7,31,34,4,47,47,14
7,32,34,4,47,47,14
7,32,34,4,47,47,14
7,32,34,4,47,47,14
7,32,34,4,47,47,14
7,32,34,4,47,47,14
7,33,34,4,47,47,14
6,33,34,4,47,47,14
6,33,34,4,47,47,14
6,33,34,4,47,47,14
6,33,35,4,47,47,15
6,34,36,4,47,47,15
6,34,36,4,47,47,13
5,35,35,4,47,47,14
5,35,35,4,47,47,15
5,35,36,4,47,47,15
5,35,35,4,47,47,14
5,35,35,4,47,47,14
5,36,34,4,47,47,14
5,36,34,4,47,47,14
4,36,34,4,47,47,14
4,36,34,4,47,47,14
4,36,34,4,47,47,14
4,37,34,4,47,47,14
4,37,33,5,47,47,13
3,37,32,4,47,47,15
3,38,33,4,47,47,15
3,38,34,4,47,47,15
3,38,34,4,47,47,14
3,38,34,4,47,47,14
3,39,34,4,47,47,14
3,39,34,4,47,47,14
2,39,34,4,47,47,14
2,40,34,4,47,47,14
2,40,35,4,47,47,14
2,40,35,4,47,47,16
2,40,36,4,47,47,13
2,40,35,4,47,47,14
1,41,34,4,47,47,14
1,41,34,4,47,47,14
1,41,35,4,47,47,15
1,41,35,4,47,47,14
1,41,34,4,47,47,14
1,42,34,4,47,47,15
1,42,37,5,47,47,10
1,43,38,5,47,47,5
1,43,35,6,47,47,1
1,43,28,5,47,47,5
1,43,25,4,47,47,13
2,43,29,3,47,47,18
3,43,36,3,47,47,19
3,44,39,4,47,47,15
3,44,36,6,47,48,21
4,44,31,6,47,48,9
5,45,25,6,47,48,11
5,45,26,4,48,48,16
6,45,31,4,48,48,18
6,45,36,3,48,48,18
7,45,40,4,48,48,15
7,45,39,4,48,48,12
8,45,38,4,48,48,13
8,46,38,3,48,47,14
9,46,39,4,47,47,15
9,46,39,4,47,47,13
10,46,38,4,47,47,13
11,46,36,4,47,47,12
11,46,35,4,47,47,13
12,46,35,4,47,47,14
13,46,35,4,47,46,15
13,47,38,4,47,46,11
14,47,39,5,47,46,5
14,47,36,6,46,46,1
14,48,31,5,46,46,1
14,48,27,4,47,46,7
14,48,26,4,47,46,13
14,48,30,3,47,47,16
14,48,35,4,47,47,17
14,49,37,4,47,47,14
14,49,36,4,47,47,12
13,50,35,4,47,47,13
13,50,34,4,47,47,14
